"","pid","group","race_ethn","gender","age","geq_1","geq_10","geq_11","geq_12","geq_13","geq_14","geq_15","geq_16","geq_17","geq_18","geq_19","geq_2","geq_20","geq_3","geq_4","geq_5","geq_6","geq_7","geq_8","geq_9","ibqh_1","ibqh_10","ibqh_11","ibqh_12","ibqh_2","ibqh_3","ibqh_4","ibqh_5","ibqh_6","ibqh_7","ibqh_8","ibqh_9","tsc_1","tsc_10","tsc_11","tsc_12","tsc_13","tsc_14","tsc_15","tsc_16","tsc_17","tsc_18","tsc_19","tsc_2","tsc_20","tsc_21","tsc_22","tsc_23","tsc_24","tsc_25","tsc_26","tsc_27","tsc_28","tsc_29","tsc_3","tsc_30","tsc_31","tsc_32","tsc_33","tsc_34","tsc_35","tsc_36","tsc_37","tsc_38","tsc_39","tsc_4","tsc_40","tsc_5","tsc_6","tsc_7","tsc_8","tsc_9"
"75",76,"1","5","2",23,1,4,3,2,2,2,1,1,1,1,1,1,1,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,0,1,0,2,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1
"76",77,"1","4","1",18,3,1,2,1,1,1,1,1,1,1,3,2,1,3,3,2,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,3,1,0,0,0,1,3,0,0,2,1,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"77",78,"1","5","2",19,5,5,5,3,2,2,2,2,2,3,4,5,5,5,5,5,3,5,3,5,2,0,0,0,1,1,1,0,0,0,0,0,3,2,0,1,0,2,1,0,0,0,0,3,1,0,3,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,2,0,0,3,1,0,0,1,2,0
"78",79,"1","6","1",19,5,3,3,3,1,1,1,1,1,1,2,4,1,5,5,5,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"79",80,"1","5","2",20,1,1,1,1,2,2,1,1,3,1,4,1,2,4,4,4,4,2,4,3,2,1,0,0,0,0,1,1,0,1,1,3,2,0,0,2,1,2,1,1,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,2,1,0
"80",81,"1","2","1",23,2,2,1,1,2,1,2,1,3,1,2,4,1,3,2,1,1,2,2,1,2,2,1,1,0,0,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0
"81",82,"1","5","1",18,3,2,2,2,1,1,1,1,1,2,2,2,2,2,3,3,1,2,2,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,2,1,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0
"82",83,"1","2","2",23,3,5,5,3,1,1,1,1,1,1,1,4,1,3,4,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",84,"1","5","1",18,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,3,3,3,1,3,3,3,3,0,3,0,3,3,3,0,3,0,3,0,3,0,3,3,0,0,3,3,3,3,0,1,3,3,3,2
"84",85,"1","5","1",19,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,0,1,1,2,2,2,2,2,0,1,0,2,0,0,1,1,0,2,1,0,1,0,0,3,2,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,3,0,0,0,0,0,0
"85",86,"1","3","1",19,4,5,5,5,3,3,1,1,3,4,4,4,4,4,4,4,3,2,2,2,2,3,0,1,2,2,2,3,3,3,3,0,3,1,3,0,1,3,3,1,2,1,3,3,0,0,1,0,0,1,0,0.366928827603913,3,0,3,0,1,3,0,1,0,0,0,1,1,2,0,0,1,3,3,1
"86",87,"1","5","1",18,2,3,3,4,1,1,1,1,1,1,2,2,1,2,2,1,1,1,3,2,2,2,2,3,0,0,2,2,2,3,2,0,2,0,0,1,0,3,0,1,2,0,1,0,0,3,2,0,2,2,0,0,1,0,1,0,1,2,1,1,2,0,0,1,0,0,0,0,2,2,1,3
"87",88,"1","5","2",20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,3,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"88",89,"1","2","1",19,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"89",90,"1","5","2",22,1,2,2,2,3,2,2,2,3,2,2,1,3,3,3,4,2,2,3,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,0,2,2,2,2,0,1,0,0,1,0,0,1,0,2,2,0,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2,0,2,1
"90",91,"1","5","1",21,4,1,1,1,3,3,3,2,1,1,1,3,1,4,4,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,3,0,3,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3
"91",92,"1","6","1",18,3,1,1,1,2,2,1,1,1,1,1,1,1,3,4,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",93,"1","2","1",19,2,3,2,2,3,3,1,2,2,3,3,3,3,2,3,3,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,3,3,2,3,3,1,1,0,0,1,1,1,3,0,3,2,3,0,3,0,2,1,2,0,3,3,0,0,3,2,2,2,3,0,3,3,2,0
"93",94,"1","6","1",19,3,2,2,2,4,3,2,2,3,2,5,4,3,4,5,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,0,2,1,1,1,0,0,2,1,2,0,1,2,0,0,2,0,0,1,0,0,0,1,1,1,2,0,0,1,1,0,3,0,0,1,0,1,0
"94",95,"1","2","1",19,4,3,3,2,2,2,1,1,2,2,1,4,1,4,4,2,1,1,3,2,2,2,2,2,1,1,1,1,2,2,2,0,1,1,0,1,0,3,1,1,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
"95",96,"1","5","1",20,1,3,2,3,4,4,4,4,3,2,3,1,1,4,4,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0
"96",97,"1","5","1",19,4,4,3,2,2,1,2,1,2,2,1,4,1,4,4,4,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,1,2,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,0,2,2
"97",98,"1","5","1",21,4,1,1,1,2,2,1,2,3,2,1,3,1,4,4,3,3,2,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,1,2,0,2,0,0,2,1,0,1,2,1,0
"98",99,"1","2","1",20,3,2,1,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,2,1,1,1,2,2,2,1,1,1,1,1,1,3,0,3,2,2,1,1,1,0,1,3,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,1,2
"99",100,"1","5","1",19,2,2,2,2,2,2,2,2,1,2,2,3,2,3,3,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"100",101,"1","5","1",19,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,1,0,0,1,1,2,0,1,0,1,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,3,1,0
"101",102,"1","2","2",20,3,4,3,3,4,4,3,4,4,3,3,3,2,3,3,2,3,3,4,3,1,1,2,1,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",103,"1","6","2",18,5,2,1,1,5,5,1,1,2,1,1,5,1,4,5,5,2,1,1,1,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0.786012763660856,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0.0531882916358969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",104,"1","2","1",19,3,1,2,1,2,2,1,1,2,3,2,4,1,3,3,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",105,"1","3","1",19,3,3,1,1,1,1,1,1,1,1,1,3,1,2,2,3,1,2,4,1,2,1,0,0,2,2,2,1,1,2,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"105",106,"1","5","1",19,4,5,5,4,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,0,2,1,3,3,3,0,1,1,2,2,2,3,0,1,2,2,0,3,0,3,1,2,1,1,3,2,0,1,0,3,3,0,1,2,2,2,3
"106",107,"1","5","2",18,5,4,2,4,3,2,2,2,1,1,1,5,1,5,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"107",108,"1","5","2",23,2,2,2,3,2,2,1,2,1,1,2,2,2,3,3,3,3,4,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,1,0,1,0,1,2,0,3,0,0,2,1,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,2,1
"108",109,"1","2","1",22,3,1,1,1,3,3,3,3,3,1,1,3,1,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,3,0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,1,1,0,1
"109",110,"1","5","1",20,2,2,3,1,3,2,1,1,2,1,2,1,2,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,2,3,3,1,3,0,3,1,3,1,0,0,0,3,3,0,2,1,0,1,3,2,3,3,3,0,2,2,1,0,2,0,1,0,0,0
"110",111,"1","6","2",20,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,2,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"111",112,"1","5","1",18,5,5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5,2,2,1,1,1,1,2,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,3,3,0,1,3,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
"112",113,"1","5","1",18,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,1,1,0,2,2,0,1,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"113",114,"1","5","1",18,3,3,3,3,2,2,2,2,2,1,1,3,1,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,0,2,2,0,0,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1.85630549610159,3
"114",115,"1","5","1",20,3,2,2,2,2,2,1,1,2,1,1,3,1,3,4,2,3,3,2,2,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"115",116,"1","5","2",18,3,5,5,5,2,1,1,1,1,1,2,3,2,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,0,3,0,0,3,0,0,3,0,0,1,1,0,2,0,0,2,0,0,3,3,0,0,3,0,0,3,0,0,3,3,3,0
"116",117,"1","5","2",22,4,5,4,4,3,1,1,1,3,1,5,4,5,4,4,4,4,3,3,4,2,1,2,1,2,3,2,2,1,1,2,2,3,0,1,0,1,2,1,1,0,1,3,1,0,0,3,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,3,1,0,0,0,0,0,0
"117",118,"1","6","1",22,3,2,2,4,2,2,3,3,1,3,5,3,3,3,2,3,4,2,2,3,1,2,1,1,0,2,2,1,1,1,1,0,3,3,1,3,3,3,3,3,2,2,1,3,1,0,3,2,1,0,0,0,3,1,0,1,0,1,0,2,0,1,1,0,2,3,0,2,2,1,3,1
"118",119,"1","5","1",22,5,5,5,5,2,2,2,2,2,3,3,5,3,5,5,5,5,5,5,5,0,0,0,0,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0
"119",120,"1","5","1",20,2,3,3,3,2,2,1,2,1,1,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,2,2,0,0,1,3,3,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0
"120",121,"1","5","2",23,4,5,5,5,4,5,1,3,1,4,4,4,4,4,4,5,5,5,5,1,1,0,2,2,2,2,2,2,2,1,1,0,1,2,0,2,2,1,2,0,2,3,0,1,0,1,1,0,1,1,1,0,0,2,0,0,0,0,2,2,0,1,2,0,0,1,0,1,2,0,1,2
"121",122,"1","4","1",19,1,1,2,1,1,1,1,1,1,1,1,4,1,1,3,4,1,1,1,1,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,2,2,0,2,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"122",123,"1","5","1",19,2,2,3,1,1,1,1,1,2,1,1,2,1,3,3,2,2,2,2,4,2,1,1,1,0,0,1,1,1,1,1,1,3,1,0,2,1,2,1,1,3,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,1,0
"123",124,"1","5","1",20,4,4,5,2,3,3,2,2,3,4,4,5,3,4,4,3,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,0,0,1,0,2,0,1,2,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"124",125,"1","5","1",20,2,1,2,1,4,4,4,3,2,1,1,3,1,3,3,2,1,1,2,1,1,0,0,0,1,1.01733533280775,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",126,"1","2","1",21,4,2,1,1,3,3,4,1,2,2,1,3,1,3,3,1,1,1,1,2,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",127,"1","5","1",20,4,2,2,2,4,3,2,2,2,1,1,3,1,3,2,2,1,4,3,3,2,1,1,1,1,1,1,2,1,2,2,2,2,2,0,3,0,1,1,1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,2
"127",128,"1","5","1",19,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
"128",129,"1","5","2",18,4,2,3,3,3,2,4,3,2,1,2,3,1,2,3,3,3,3,3,3,1,0,0,0,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",130,"1","5","1",18,2,2,2,1,1,1,1,1,1,1,2,2,1,2,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1
"130",131,"1","5","2",21,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",132,"1","5","1",18,5,3,3,2,1,1,1,1,1,2,3,5,2,5,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,3,2,0,3,0,3,3,1,2,3,1,1,3,0,1,0,2,2,2,0,0,0,3,1,1,1,1,1,1,0,2,1,0,1,0,0,3,2,2,1
"132",133,"1","4","1",18,2,3,3,2,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,1,2,1,1,1,1,2,1.01855153328014,1,1,1,1,1,0,0,1,1,1,1,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"133",134,"1","5","1",18,2,3,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,0,1,2,0,1,2,0,0,2,3,0,0,3,0,1,1,0,0,3,0,2,0,3,0,1,1,0,0,1,0,1,3,0,0,1,1,3,1
"134",135,"1","5","1",18,5,4,4,4,3,2,2,2,1,1,3,5,1,5,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,3,3,0,0.695044285049374,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",136,"1","5","1",20,2,2,2,2,2,2,1,1,2,1,3,2,1,1,3,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0
"136",137,"1","5","2",18,3,4,2,1,1,1,1,1,1,1,2,3,1,3,3,1,1,1,3,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,1,2,0,3,2,1,2,1,2,0,1,0,2,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,1,0
"137",138,"1","2","1",20,4,3,4,5,3,3,3,3,2,2,3,4,1,3,3,2,2,3,3,3,2,3,2,2,1,1,2,1,2,2,1,0,2,2,1,2,2,2,2,1,2,1,1,3,1,3,3,0,1,2,2,0,2,0,0,0,1,0,2,1,2,0,2,1,0,1,1,0,2,3,2,1
"138",139,"1","5","1",23,4,1,1,1,1,1,3,3,1,4,4,4,4,4,4,3,1,1,2,2,2,0,0,0,2,2,0,1,1,1,2,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"139",140,"1","5","1",18,3,4,3,2,2,2,1,1,2,1,2,3,1,2,3,4,3,3,2,5,1,1,0,1,0,0,1,0,0,0,0,0,2,2,0,2,1,2,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0,1,0,1,1,1,0,3,2,1,0
"140",141,"1","5","1",18,3,3,3,3,1,1,2,1,1,2,3,3,3,3,3,4,2,3,3,2,1,0,0,2,1,2,0,1,1,1,2,0,3,2,0,2,1,3,3,1,1,1,0,2,2,1,2,1,0,1,1,0,2,2,0,0,1,0,1,1,2,0,2,2,1,2,0,2,2,1,3,2
"141",142,"1","1","1",18,4,5,5,5,3,3,2,1,1,1,5,4,2,4,4,5,4,5,1,2,1,0,0,0,1,0,0,0,0,0,0,0,3,1,3,3,3,3,3,3,0,1,0,3,3,3,3,0,0,3,0,0,1,0,2,0,0,0,0,1,0,0,2,0,2,1,1,1,3,3,1,0
"142",143,"1","5","1",18,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,3,3,0,0,0,2,2,0,2,1,2,1,2,0,1,2,1,0,0,2,0,0,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,1,0
"143",144,"1","5","1",18,1,2,2,3,1,1,1,1,1,2,1,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"144",145,"1","5","1",19,4,3,5,2,4,4,1,1,1,1,2,4,1,4,4,5,5,4,2,4,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",146,"1","5","1",19,4,2,2,2,4,4,2,2,2,2,2,4,1,4,4,4,2,3,3,2,2,2,2,2,1,1,2,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",147,"1","6","1",18,3,3,3,3,1,1,1,1,1,2,2,3,1,2,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,2,3,2,0,0,2,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,1
"147",148,"1","2","1",18,3,4,3,4,2,2,2,2,2,2,2,4,3,4,4,4,2,1,1,2,2,3,3,3,2,2,3,2,3,3,3,3,1,0,0,2,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"148",149,"1","5","2",19,4,1,3,1,2,2,1,1,2,1,3,5,1,5,5,5,5,4,3,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,2,1,1,1,0,3,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,2,1,0,1,1,1,0
"149",150,"1","2","1",20,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,3,3,1,0
"150",151,"1","2","2",19,4,2,2,3,4,3,2,2,1,2,1,3,1,4,2,3,2,3,4,2,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0.899374117384519,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
"151",152,"1","5","1",18,3,2,2,2,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
